,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,status,team_match
0,Namibia Vs Sri lanka,Namibia,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,0,0,50.00,out,NAM Vs SL
1,Namibia Vs Sri lanka,Namibia,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,1,0,100.00,out,NAM Vs SL
2,Namibia Vs Sri lanka,Namibia,3,Jan Nicol LoftieEaton,c †Mendis b Karunaratne,20,12,1,2,166.66,out,NAM Vs SL
3,Namibia Vs Sri lanka,Namibia,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,2,0,108.33,out,NAM Vs SL
4,Namibia Vs Sri lanka,Namibia,5,Gerhard Erasmus,c Gunathilaka b PWH de Silva,20,24,0,0,83.33,out,NAM Vs SL
5,Namibia Vs Sri lanka,Namibia,6,Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,4,0,157.14,out,NAM Vs SL
6,Namibia Vs Sri lanka,Namibia,7,David Wiese,c †Mendis b Theekshana,0,1,0,0,0.00,out,NAM Vs SL
7,Namibia Vs Sri lanka,Namibia,8,JJ Smit,,31,16,2,2,193.75,not_out,NAM Vs SL
8,Namibia Vs Sri lanka,Sri Lanka,1,Pathum Nissanka,c Smit b Shikongo,9,10,1,0,90.00,out,NAM Vs SL
9,Namibia Vs Sri lanka,Sri Lanka,2,Kusal Mendis,c †Green b Wiese,6,6,0,0,100.00,out,NAM Vs SL
10,Namibia Vs Sri lanka,Sri Lanka,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,1,0,109.09,out,NAM Vs SL
11,Namibia Vs Sri lanka,Sri Lanka,4,Danushka Gunathilaka,c †Green b Shikongo,0,1,0,0,0.00,out,NAM Vs SL
12,Namibia Vs Sri lanka,Sri Lanka,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,2,0,95.23,out,NAM Vs SL
13,Namibia Vs Sri lanka,Sri Lanka,6,Dasun Shanaka,c †Green b Frylinck,29,23,2,1,126.08,out,NAM Vs SL
14,Namibia Vs Sri lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,0,0,50.00,out,NAM Vs SL
15,Namibia Vs Sri lanka,Sri Lanka,8,Chamika Karunaratne,c Baard b Smit,5,8,0,0,62.50,out,NAM Vs SL
16,Namibia Vs Sri lanka,Sri Lanka,9,Pramod Madushan,run out (van Lingen/†Green),0,0,0,0,-,out,NAM Vs SL
17,Namibia Vs Sri lanka,Sri Lanka,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,0,0,53.33,out,NAM Vs SL
18,Namibia Vs Sri lanka,Sri Lanka,11,Maheesh Theekshana,,11,11,0,1,100.00,not_out,NAM Vs SL
19,Netherlands Vs U.a.e.,U.A.E.,1,Chirag Suri,c †Edwards b van der Merwe,12,20,1,0,60.00,out,NED Vs UAE
20,Netherlands Vs U.a.e.,U.A.E.,2,Muhammad Waseem,c Pringle b Klaassen,41,47,1,2,87.23,out,NED Vs UAE
21,Netherlands Vs U.a.e.,U.A.E.,3,Kashif Daud, b Pringle,15,14,0,1,107.14,out,NED Vs UAE
22,Netherlands Vs U.a.e.,U.A.E.,4,Vriitya Aravind,c Klaassen b de Leede,18,21,0,0,85.71,out,NED Vs UAE
23,Netherlands Vs U.a.e.,U.A.E.,5,Zawar Farid,run out (Ackermann/†Edwards),2,4,0,0,50.00,out,NED Vs UAE
24,Netherlands Vs U.a.e.,U.A.E.,6,Basil Hameed,c van der Merwe b de Leede,4,4,1,0,100.00,out,NED Vs UAE
25,Netherlands Vs U.a.e.,U.A.E.,7,Chundangapoyil Rizwan, b de Leede,1,2,0,0,50.00,out,NED Vs UAE
26,Netherlands Vs U.a.e.,U.A.E.,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,0,0,71.42,out,NED Vs UAE
